Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"025620","Jayjun Cosmetic","7810","-100","-1.26","7950","8120","7720","34192","269684700","62720141880","8030748"
"006220","Jeju BK","15030","0","0.00","15160","15250","14930","284320","4289127435","568112311710","37798557"
"381970","K Car","15100","-50","-0.33","15160","15260","15080","41532","628532890","727549302300","48182073"
"450140","K.M.G","3975","5","0.13","3975","3990","3970","419997","1670089465","249539568750","62777250"
"45014K","K.M.G(1P)","5900","0","0.00","5900","5920","5900","13624","80441385","14491108000","2456120"
"123890","KAIT","2415","-30","-1.23","2485","2485","2410","218955","530824696","295533031290","122373926"
"003490","KAL","24900","-250","-0.99","25250","25300","24750","1439729","35928611175","9168694458900","368220661"
"003495","KAL(1P)","24550","-50","-0.20","24650","24800","24450","1428","35152100","27269992700","1110794"
"000860","KANGNAM JEVISCO","12170","-80","-0.65","12260","12290","12040","23817","289636170","158210000000","13000000"
"415640","KB Balhae Infra","8400","80","0.96","8390","8980","8280","3612873","31214108315","1029382603200","122545548"
"432320","KB STAR REIT","3795","-95","-2.44","3890","3895","3710","637361","2389393760","384867211575","101414285"
"105560","KBFinancialGroup","113200","-1400","-1.22","115800","116300","113200","786457","89644545000","43181510059600","381462103"
"001620","KBIDK","495","6","1.23","493","497","485","126787","62290348","55090050345","111293031"
"029460","KC","23550","-150","-0.63","23600","23900","23250","37189","872197850","311596243650","13231263"
"119650","KC COTTRELL","918","0","0.00","0","0","0","0","0","100782913662","109785309"
"009440","KC Green Holdings","756","0","0.00","0","0","0","0","0","17568790596","23239141"
"002380","KCC","378000","1000","0.27","379000","389000","372000","27527","10469193250","3359086038000","8886471"
"344820","KCC GLASS","30650","350","1.16","30650","30650","30300","10819","329313625","489496192800","15970512"
"009070","KCTC","5550","20","0.36","5480","5750","5480","665322","3739023370","166500000000","30000000"
"281820","KCTECH","34950","-750","-2.10","35450","35600","34250","113943","3976394850","723126788850","20690323"
"071320","KDHC","78800","-1100","-1.38","79900","80100","78800","8693","688814250","912405027200","11578744"
"092220","KEC","782","-6","-0.76","791","803","778","547649","430792761","156996776262","200763141"
"023350","KECC","5070","20","0.40","5100","5120","5050","17947","91654550","55516500000","10950000"
"006200","KECHOLDINGS","733","-15","-2.01","741","750","733","22458","16632225","34306698688","46803136"
"015760","KEPCO","38850","-700","-1.77","39200","39600","38650","2944140","114825987100","24940304391450","641964077"
"052690","KEPCO E&C","98100","1800","1.87","95700","98100","93500","333840","32015172400","3749382000000","38220000"
"051600","KEPCO KPS","53300","-100","-0.19","53300","53400","52400","118530","6283160100","2398500000000","45000000"
"130660","KEPID","12430","-80","-0.64","12450","12550","12370","60538","752762680","405218000000","32600000"
"016380","KG DONGBU STL","5800","-50","-0.85","5840","5870","5750","64160","372059790","580051602600","100008897"
"003620","KG Mobility","3495","-20","-0.57","3510","3555","3455","165991","581454743","707300317440","202374912"
"001390","KGC","4765","-65","-1.35","4825","4850","4705","512652","2437615946","326254975600","68469040"
"033180","KH FEELUX","5310","0","0.00","0","0","0","0","0","138166306200","26020020"
"000270","KIA CORP.","103700","500","0.48","103600","104700","103100","574716","59652479350","41238651938400","397672632"
"071050","KIH","137500","-1100","-0.79","138700","140300","137500","205965","28430869650","7662323900000","55725992"
"071055","KIH(1P)","95400","-200","-0.21","96200","97200","95400","15897","1523976350","558877145400","5858251"
"152550","KIM ANKOR OIL","245","0","0.00","244","245","243","646982","157769010","17154900000","70020000"
"104700","KISCO","8890","-90","-1.00","9080","9080","8800","26593","235795485","324040500000","36450000"
"001940","KISCO Holdings","23350","-250","-1.06","23700","23800","23150","12451","291152650","331018473000","14176380"
"092440","KISHIN","2455","-55","-2.19","2495","2500","2410","69577","170323590","71686000000","29200000"
"002240","KISWire","18120","-110","-0.60","18230","18230","18010","5617","101531965","489240000000","27000000"
"039490","KIWOOM","210500","-1500","-0.71","212000","214000","207500","99524","20921821000","5509958116500","26175573"
"357120","KLI REIT","4275","-85","-1.95","4360","4375","4205","826980","3507448511","416108638350","97335354"
"071950","KOAS","9020","-130","-1.42","9040","9250","8980","12740","115981190","29682294400","3290720"
"024720","KOLMAR HOLDINGS","13710","190","1.41","13510","13840","13440","117810","1608127390","470201710890","34296259"
"161890","KOLMAR KOREA","79700","1000","1.27","78800","79800","78200","273697","21688280550","1881324636900","23605077"
